"Timestamp", "close", "high", "low", "open", "volume"
1462380415,696.5500,696.6600,696.5000,696.5000,1300
1462380430,696.2300,696.4900,696.2300,696.4500,1200
1462380490,696.0500,696.0800,695.9500,696.0000,1800
1462380553,696.0000,696.2200,696.0000,696.2200,1000
1462380657,696.0000,696.0500,695.9200,696.0000,2300
1462380661,696.0500,696.1000,695.8150,696.0000,3900
1462380728,696.4650,696.4650,696.1800,696.1800,800
1462380833,696.9100,696.9100,696.4300,696.4300,1000
1462380842,696.8700,696.8700,696.7535,696.7535,400
1462380921,697.1200,697.1900,696.5800,696.5800,5100
1462380965,697.3400,697.4400,697.0000,697.0000,5200
1462381031,697.4200,697.4200,696.6546,697.0300,2800
1462381082,697.1500,697.4400,697.1500,697.4100,1800
1462381182,696.8300,697.0000,696.8300,697.0000,1500
1462381222,696.2700,696.5000,696.2700,696.5000,1100
1462381260,696.8000,696.8000,696.5100,696.5100,1600
1462381421,696.9800,696.9800,696.8000,696.8900,900
1462381478,696.9900,697.2880,696.7500,697.1211,1600
1462381538,697.0400,697.0400,696.8100,696.8100,400
1462381569,696.8800,697.1600,696.8800,696.9650,2400
1462381630,697.2000,697.2500,696.7300,696.7400,3300
1462381698,697.0300,697.1700,696.9150,696.9700,2600
1462381741,696.6200,697.2000,696.6200,697.0350,2500
1462381831,696.0200,696.0200,695.8700,696.0000,3800
1462381879,696.4300,696.5200,696.1000,696.2889,2100
1462381924,696.3600,696.3600,696.0900,696.1740,2200
1462381984,695.8200,696.3800,695.8200,696.3800,4700
1462382065,696.2500,696.2500,696.2500,696.2500,300
1462382127,696.3700,696.6100,696.2000,696.2000,3000
1462382164,696.5100,696.6000,696.4700,696.6000,2100
1462382335,697.0146,697.0146,696.9000,696.9000,1600
1462382343,696.9000,697.1200,696.8500,697.0000,4400
1462382406,696.8800,697.2000,696.8700,696.9200,3500
1462382471,696.6500,697.0000,696.6500,697.0000,2100
1462382609,696.6100,696.6100,696.3340,696.3520,2200
1462382676,696.5600,696.5600,696.5600,696.5600,300
1462382722,696.5000,696.5400,696.4316,696.5400,1500
1462382788,696.5651,696.5651,696.5651,696.5651,200
1462382823,696.5339,696.7400,696.5339,696.7400,300
1462382889,697.1500,697.1800,696.7300,696.7300,2600
1462382948,697.0000,697.1760,697.0000,697.1760,600
1462383006,697.2000,697.2500,697.0850,697.1905,2300
1462383080,697.1650,697.3000,697.1463,697.3000,1000
1462383125,697.1400,697.2900,697.1400,697.2900,1600
1462383191,697.2600,697.2600,697.2600,697.2600,400
1462383241,697.2650,697.3500,697.0800,697.1000,2600
1462383307,696.8600,697.3400,696.6600,697.3400,2500
1462383364,697.3200,697.3200,696.9500,697.1200,800
1462383493,696.4800,696.9200,696.3800,696.9000,2000
1462383546,696.4600,696.5000,696.3300,696.3300,1100
1462383601,696.4500,696.6400,696.1200,696.4200,1100
1462383665,696.7000,696.7200,696.3400,696.5643,18200
1462383785,696.4900,697.0000,696.4900,696.7300,2700
1462383840,696.6600,696.8600,696.4900,696.7600,1100
1462383900,696.4000,696.6300,696.0700,696.4300,2200
1462383989,697.0000,697.2000,696.0000,696.1600,5200
1462384020,696.6400,696.7300,696.3370,696.7300,900
1462384134,696.3900,696.3900,696.1500,696.1500,600
1462384173,696.7100,696.7100,696.5000,696.5000,1300
1462384211,697.1500,697.1600,696.7700,696.7700,1600
1462384316,696.8300,696.8400,696.7700,696.8400,1500
1462384320,697.4100,697.4100,697.0000,697.1700,3200
1462384386,697.5900,697.7300,697.3000,697.3000,3500
1462384452,697.4100,697.4100,697.1900,697.2000,900
1462384525,697.2300,697.4203,697.2100,697.4203,1600
1462384572,697.1177,697.1900,697.0800,697.1900,1400
1462384621,696.3900,696.5900,696.3900,696.5900,600
1462384685,696.5600,696.5932,696.3400,696.5900,3200
1462384742,696.1867,696.5500,696.0500,696.5500,2100
1462384804,695.6300,696.2900,695.6300,696.2900,2300
1462384863,695.6350,695.7400,695.4500,695.5900,1900
1462384922,695.7600,695.7600,695.4000,695.6000,1100
1462384981,695.4200,695.6550,695.1300,695.5500,3600
1462385049,695.4600,695.4600,695.4600,695.4600,200
1462385102,695.3100,695.4900,695.2000,695.4900,2200
1462385170,694.7307,695.0725,694.7100,695.0700,6100
1462385221,694.8000,694.9600,694.6998,694.7800,3400
1462385310,694.7500,694.8350,694.7400,694.8350,800
1462385344,694.9400,695.0000,694.7900,694.7900,2300
1462385404,695.0650,695.2400,694.8608,694.9980,2400
1462385501,694.5400,694.9575,694.5400,694.9575,3600
1462385522,694.9700,694.9700,694.4500,694.4500,2400
1462385603,695.0500,695.0500,695.0500,695.0500,300
1462385643,695.7000,695.7000,695.0700,695.0700,3800
1462385702,695.6800,695.6800,695.2950,695.5000,4100
1462385760,696.0700,696.0800,695.6800,695.6800,2600
1462385832,696.4100,696.4100,696.0000,696.0000,2900
1462385908,696.2800,696.2800,695.7600,696.1700,2300
1462385998,695.8575,695.8575,695.7501,695.7501,400
1462386003,695.7301,696.0000,695.7301,696.0000,800
1462386089,695.6500,695.7400,695.5000,695.7300,800
1462386120,695.3401,695.6400,695.3401,695.4500,2900
1462386193,696.1300,696.1300,695.5200,695.6900,1500
1462386246,696.0900,696.0900,695.7600,696.0800,1800
1462386304,697.1600,697.2000,696.1000,696.1000,7600
1462386369,697.6900,697.6900,696.9800,697.1600,3600
1462386479,697.2900,697.7830,697.2900,697.5600,4600
1462386484,697.7900,697.8500,697.5700,697.5700,900
